iter	Passed	Remaining
1468	40384	14597
1469	40413	14570
1470	40448	14546
1471	40478	14519
1472	40503	14490
1473	40525	14461
1474	40544	14431
1475	40562	14400
1476	40593	14373
1477	40622	14346
1478	40663	14324
1479	40695	14298
1480	40733	14274
1481	40765	14248
1482	40798	14223
1483	40820	14193
1484	40842	14164
1485	40864	14134
1486	40885	14105
1487	40916	14078
1488	40946	14051
1489	40986	14028
1490	41020	14003
1491	41052	13977
1492	41089	13953
1493	41116	13925
1494	41136	13895
1495	41153	13864
1496	41174	13834
1497	41204	13808
1498	41249	13786
1499	41278	13759
1500	41304	13731
1501	41341	13707
1502	41358	13676
1503	41388	13649
1504	41415	13621
1505	41451	13596
1506	41483	13570
1507	41503	13540
1508	41536	13515
1509	41553	13484
1510	41576	13455
1511	41607	13428
1512	41629	13399
1513	41665	13374
1514	41700	13349
1515	41742	13326
1516	41772	13300
1517	41796	13271
1518	41820	13242
1519	41864	13220
1520	41892	13192
1521	41916	13164
1522	41935	13134
1523	41951	13102
1524	41973	13073
1525	41999	13045
1526	42017	13015
1527	42036	12985
1528	42070	12959
1529	42106	12934
1530	42130	12906
1531	42159	12878
1532	42186	12851
1533	42211	12823
1534	42242	12796
1535	42267	12768
1536	42299	12742
1537	42329	12715
1538	42360	12689
1539	42403	12665
1540	42434	12639
1541	42463	12612
1542	42489	12584
1543	42522	12558
1544	42555	12532
1545	42590	12507
1546	42628	12482
1547	42665	12458
1548	42700	12432
1549	42737	12407
1550	42762	12379
1551	42799	12354
1552	42820	12325
1553	42842	12295
1554	42869	12268
1555	42887	12237
1556	42918	12211
1557	42936	12180
1558	42962	12153
1559	42992	12126
1560	43036	12103
1561	43074	12078
1562	43107	12052
1563	43134	12024
1564	43168	11998
1565	43193	11970
1566	43217	11941
1567	43238	11912
1568	43277	11888
1569	43314	11863
1570	43343	11836
1571	43371	11808
1572	43400	11781
1573	43422	11752
1574	43446	11723
1575	43476	11696
1576	43504	11669
1577	43523	11639
1578	43541	11609
1579	43566	11580
1580	43585	11551
1581	43605	11521
1582	43639	11495
1583	43675	11470
1584	43700	11441
1585	43740	11417
1586	43791	11396
1587	43822	11369
1588	43875	11348
1589	43917	11324
1590	43945	11297
1591	43974	11269
1592	44008	11243
1593	44049	11219
1594	44069	11190
1595	44106	11164
1596	44152	11141
1597	44189	11116
1598	44229	11091
1599	44267	11066
1600	44302	11041
1601	44333	11014
1602	44356	10985
1603	44374	10955
1604	44404	10928
1605	44434	10901
1606	44469	10875
1607	44506	10849
1608	44534	10822
1609	44578	10798
1610	44604	10770
1611	44641	10744
1612	44668	10717
1613	44712	10693
1614	44740	10665
1615	44767	10637
1616	44797	10610
1617	44843	10587
1618	44867	10558
1619	44899	10531
1620	44938	10506
1621	44972	10480
1622	45008	10454
1623	45039	10427
1624	45062	10399
1625	45092	10371
1626	45123	10344
1627	45147	10316
1628	45173	10288
1629	45197	10259
1630	45236	10234
1631	45264	10206
1632	45287	10177
1633	45327	10152
1634	45358	10126
1635	45381	10097
1636	45419	10071
1637	45441	10042
1638	45468	10014
1639	45499	9987
1640	45526	9959
1641	45549	9931
1642	45578	9903
1643	45607	9876
1644	45638	9849
1645	45661	9820
1646	45688	9792
1647	45723	9766
1648	45745	9737
1649	45787	9712
1650	45819	9685
1651	45849	9658
1652	45878	9630
1653	45913	9604
1654	45950	9578
1655	45984	9552
1656	46015	9525
1657	46035	9495
1658	46074	9470
1659	46105	9443
1660	46136	9416
1661	46166	9388
1662	46186	9359
1663	46218	9332
